"Position","Image Count-2","Price-2","Title","Location-2","Property Link","Main Image","Property Type-2","Company Logo-2","Contact Number-2"
1,15,,,"القرم, مسقط, عمان",,,"900 OMR","https://imagesmawa.b-cdn.net/public/uploads/company_image/41866.png",
2,10,,,"الخوير, مسقط, عمان",,,"376 OMR","https://imagesmawa.b-cdn.net/public/uploads/company_image/2U69VRy243.jpeg",
3,6,,,"الموج, مسقط, عمان",,,"475 OMR","https://imagesmawa.b-cdn.net/public/uploads/company_image/33585.png",
4,6,,,"العذيبة, مسقط, عمان",,,"700 OMR","https://imagesmawa.b-cdn.net/public/uploads/company_image/33585.png",
5,14,,,"القرم, مسقط, عمان",,,"525 OMR","https://imagesmawa.b-cdn.net/public/uploads/company_image/41248.jpg",
6,6,,,"الانصب, مسقط, عمان",,,"400 OMR","https://imagesmawa.b-cdn.net/public/uploads/company_image/nzi1390qKW.png",
7,17,,,"صحار , الباطنة, عمان",,,"375 OMR","https://imagesmawa.b-cdn.net/public/uploads/company_image/41248.jpg",
8,8,,,"بوشر, مسقط, عمان",,,"400 OMR","https://imagesmawa.b-cdn.net/public/uploads/company_image/33585.png",
9,3,,,"غلاء الصناعية , مسقط, عمان",,,"550 OMR","https://imagesmawa.b-cdn.net/public/uploads/company_image/33585.png",
10,5,,,"الخوير الجنوبية, مسقط, عمان",,,"275 OMR","https://imagesmawa.b-cdn.net/public/uploads/company_image/76989.jpg",
11,12,,,"غلاء الصناعية , مسقط, عمان",,,"840 OMR","https://imagesmawa.b-cdn.net/public/uploads/company_image/33585.png",
12,8,,,"القرم, مسقط, عمان",,,"2,500 OMR","https://imagesmawa.b-cdn.net/public/uploads/company_image/771451604476205.jpg",
